date,gold_usd,cpi_us
2014-09-01,1241.33,237.852
2014-10-01,1223.565,238.031
2014-11-01,1176.413,237.433
2014-12-01,1200.44,236.151
2015-01-01,1249.333,234.812
2015-02-01,1231.1,233.707
2015-03-01,1180.636,234.722
2015-04-01,1198.253,236.119
2015-05-01,1197.684,236.599
2015-06-01,1182.248,237.805
2015-07-01,1131.58,238.638
2015-08-01,1117.525,238.654
2015-09-01,1124.905,238.316
2015-10-01,1157.123,237.945
2015-11-01,1088.388,237.838
2015-12-01,1068.317,237.336
2016-01-01,1095.655,236.525
2016-02-01,1194.893,236.916
2016-03-01,1246.312,237.111
2016-04-01,1241.452,238.132
2016-05-01,1259.755,239.261
2016-06-01,1273.58,240.229
2016-07-01,1337.429,241.018
2016-08-01,1340.861,240.628
2016-09-01,1326.618,240.849
2016-10-01,1268.929,241.428
2016-11-01,1240.293,241.729
2016-12-01,1152.165,241.353
2017-01-01,1192.648,241.432
2017-02-01,1233.39,242.839
2017-03-01,1231.063,243.603
2017-04-01,1267.15,243.801
2017-05-01,1245.25,244.524
2017-06-01,1261.277,244.733
2017-07-01,1235.1,244.955
2017-08-01,1281.72,244.786
2017-09-01,1317.045,245.519
2017-10-01,1280.677,246.819
2017-11-01,1283.189,246.663
2017-12-01,1265.674,246.669
2018-01-01,1332.809,246.524
2018-02-01,1333.775,247.867
2018-03-01,1325.562,248.991
2018-04-01,1335.332,249.554
2018-05-01,1303.618,250.546
2018-06-01,1282.126,251.588
2018-07-01,1238.064,251.989
2018-08-01,1201.859,252.006
2018-09-01,1199.198,252.146
2018-10-01,1214.726,252.439
2018-11-01,1221.275,252.885
2018-12-01,1249.887,252.038
2019-01-01,1291.63,251.233
2019-02-01,1319.755,251.712
2019-03-01,1302.286,252.776
2019-04-01,1287.65,254.202
2019-05-01,1282.46,255.548
2019-06-01,1358.488,256.092
2019-07-01,1414.611,256.143
2019-08-01,1497.102,256.571
2019-09-01,1510.336,256.558
2019-10-01,1494.765,256.759
2019-11-01,1471.921,257.346
2019-12-01,1480.025,257.208
2020-01-01,1560.668,256.974
2020-02-01,1598.818,257.971
2020-03-01,1593.764,258.678
2020-04-01,1680.03,258.115
2020-05-01,1715.697,256.389
2020-06-01,1734.032,256.394
2020-07-01,1840.807,257.797
2020-08-01,2041.7,259.101
2020-09-01,2001.1,259.918
2020-10-01,1921.3,260.28
2020-11-01,1902.5,260.388
2020-12-01,1794.2,260.229
2021-01-01,1930.0,260.474
2021-02-01,1876.4,261.582
2021-03-01,1745.7,263.014
2021-04-01,1712.9,264.877
2021-05-01,1772.5,267.054
2021-06-01,1913.9,269.195
2021-07-01,1774.8,271.696
2021-08-01,1817.0,273.003
2021-09-01,1816.7,273.567
2021-10-01,1757.2,274.31
2021-11-01,1785.3,276.589
